,Squad,H_MP,H_W,H_D,H_L,H_GF,H_GA,H_GD,H_Pts,H_Pts/MP,A_MP,A_W,A_D,A_L,A_GF,A_GA,A_GD,A_Pts,A_Pts/MP,year,home_team_strength,away_team_strength,home_attack_strength,home_defence_strength,away_attack_strength,away_defence_strength
11,Leicester City,19,10,4,5,31,25,6,34,1.79,19,2,4,13,17,38,-21,10,0.53,2016-17,1005.2631578947369,921.0526315789473,1163.157894736842,868.421052631579,1089.4736842105262,800.0
12,Stoke City,19,7,6,6,24,24,0,27,1.42,19,4,5,10,17,32,-15,17,0.89,2016-17,973.6842105263158,942.1052631578948,1126.3157894736842,873.6842105263158,1089.4736842105262,831.578947368421
13,Crystal Palace,19,6,2,11,24,25,-1,20,1.05,19,6,3,10,26,38,-12,21,1.11,2016-17,963.1578947368421,963.1578947368421,1126.3157894736842,868.421052631579,1136.842105263158,800.0
14,Swansea City,19,8,3,8,27,34,-7,27,1.42,19,4,2,13,18,36,-18,14,0.74,2016-17,984.2105263157895,942.1052631578948,1142.1052631578948,821.0526315789474,1094.7368421052631,810.5263157894738
15,Burnley,19,10,3,6,26,20,6,33,1.74,19,1,4,14,13,35,-22,7,0.37,2016-17,1005.2631578947367,910.5263157894738,1136.842105263158,894.7368421052631,1068.421052631579,815.7894736842105
16,Watford,19,8,4,7,25,29,-4,28,1.47,19,3,3,13,15,39,-24,12,0.63,2016-17,984.2105263157895,931.578947368421,1131.578947368421,847.3684210526316,1078.9473684210527,794.7368421052631
17,Hull City,19,8,4,7,28,35,-7,28,1.47,19,1,3,15,9,45,-36,6,0.32,2016-17,984.2105263157895,910.5263157894738,1147.3684210526317,815.7894736842105,1047.3684210526317,763.1578947368421
18,Middlesbrough,19,4,6,9,17,23,-6,18,0.95,19,1,7,11,10,30,-20,10,0.53,2016-17,942.1052631578948,910.5263157894736,1089.4736842105262,878.9473684210526,1052.6315789473683,842.1052631578948
19,Sunderland,19,3,5,11,16,34,-18,14,0.74,19,3,1,15,13,35,-22,10,0.53,2016-17,931.578947368421,931.578947368421,1084.2105263157894,821.0526315789474,1068.421052631579,815.7894736842105
20,Manchester City,19,16,2,1,61,14,47,50,2.63,19,16,2,1,45,13,32,50,2.63,2017-18,1068.4210526315787,1068.4210526315787,1321.0526315789475,926.3157894736842,1236.842105263158,931.578947368421
21,Manchester Utd,19,15,2,2,38,9,29,47,2.47,19,10,4,5,30,19,11,34,1.79,2017-18,1057.8947368421052,1005.2631578947369,1200.0,952.6315789473684,1157.8947368421052,900.0
22,Tottenham,19,13,4,2,40,16,24,43,2.26,19,10,4,5,34,20,14,34,1.79,2017-18,1036.842105263158,1005.2631578947369,1210.5263157894738,915.7894736842105,1178.9473684210527,894.7368421052631
23,Liverpool,19,12,7,0,45,10,35,43,2.26,19,9,5,5,39,28,11,32,1.68,2017-18,1026.3157894736842,994.7368421052633,1236.842105263158,947.3684210526316,1205.2631578947369,852.6315789473684
24,Chelsea,19,11,4,4,30,16,14,37,1.95,19,10,3,6,32,22,10,33,1.74,2017-18,1015.7894736842105,1005.2631578947367,1157.8947368421052,915.7894736842105,1168.421052631579,884.2105263157895
25,Arsenal,19,15,2,2,54,20,34,47,2.47,19,4,4,11,20,31,-11,16,0.84,2017-18,1057.8947368421052,942.1052631578947,1284.2105263157896,894.7368421052631,1105.2631578947369,836.8421052631579
26,Burnley,19,7,5,7,16,17,-1,26,1.37,19,7,7,5,20,22,-2,28,1.47,2017-18,973.6842105263158,973.6842105263158,1084.2105263157894,910.5263157894736,1105.2631578947369,884.2105263157895
27,Everton,19,10,4,5,28,22,6,34,1.79,19,3,6,10,16,36,-20,15,0.79,2017-18,1005.2631578947369,931.578947368421,1147.3684210526317,884.2105263157895,1084.2105263157894,810.5263157894738
28,Leicester City,19,7,6,6,25,22,3,27,1.42,19,5,5,9,31,38,-7,20,1.05,2017-18,973.6842105263158,952.6315789473684,1131.578947368421,884.2105263157895,1163.157894736842,800.0
29,Newcastle Utd,19,8,4,7,21,17,4,28,1.47,19,4,4,11,18,30,-12,16,0.84,2017-18,984.2105263157895,942.1052631578947,1110.5263157894738,910.5263157894736,1094.7368421052631,842.1052631578948
30,Crystal Palace,19,7,5,7,29,27,2,26,1.37,19,4,6,9,16,28,-12,18,0.95,2017-18,973.6842105263158,942.1052631578948,1152.6315789473683,857.8947368421052,1084.2105263157894,852.6315789473684
31,Bournemouth,19,7,5,7,26,30,-4,26,1.37,19,4,6,9,19,31,-12,18,0.95,2017-18,973.6842105263158,942.1052631578948,1136.842105263158,842.1052631578948,1100.0,836.8421052631579
32,West Ham,19,7,6,6,24,26,-2,27,1.42,19,3,6,10,24,42,-18,15,0.79,2017-18,973.6842105263158,931.578947368421,1126.3157894736842,863.1578947368421,1126.3157894736842,778.9473684210526
33,Watford,19,7,6,6,27,31,-4,27,1.42,19,4,2,13,17,33,-16,14,0.74,2017-18,973.6842105263158,942.1052631578948,1142.1052631578948,836.8421052631579,1089.4736842105262,826.3157894736842
34,Brighton,19,7,8,4,24,25,-1,29,1.53,19,2,5,12,10,29,-19,11,0.58,2017-18,973.6842105263158,921.0526315789474,1126.3157894736842,868.421052631579,1052.6315789473683,847.3684210526316
35,Huddersfield,19,6,5,8,16,25,-9,23,1.21,19,3,5,11,12,33,-21,14,0.74,2017-18,963.1578947368422,931.578947368421,1084.2105263157894,868.421052631579,1063.157894736842,826.3157894736842
36,Southampton,19,4,7,8,20,26,-6,19,1.0,19,3,8,8,17,30,-13,17,0.89,2017-18,942.1052631578948,931.5789473684212,1105.2631578947369,863.1578947368421,1089.4736842105262,842.1052631578948
37,Swansea City,19,6,3,10,17,24,-7,21,1.11,19,2,6,11,11,32,-21,12,0.63,2017-18,963.1578947368421,921.0526315789473,1089.4736842105262,873.6842105263158,1057.8947368421052,831.578947368421
38,Stoke City,19,5,5,9,20,30,-10,20,1.05,19,2,7,10,15,38,-23,13,0.68,2017-18,952.6315789473684,921.0526315789473,1105.2631578947369,842.1052631578948,1078.9473684210527,800.0
39,West Brom,19,3,9,7,21,29,-8,18,0.95,19,3,4,12,10,27,-17,13,0.68,2017-18,931.578947368421,931.578947368421,1110.5263157894738,847.3684210526316,1052.6315789473683,857.8947368421052
40,Manchester City,19,18,0,1,57,12,45,54,2.84,19,14,2,3,38,11,27,44,2.32,2018-19,1089.4736842105262,1047.3684210526314,1300.0,936.8421052631579,1200.0,942.1052631578947
41,Liverpool,19,17,2,0,55,10,45,53,2.79,19,13,5,1,34,12,22,44,2.32,2018-19,1078.9473684210525,1036.842105263158,1289.4736842105262,947.3684210526316,1178.9473684210527,936.8421052631579
42,Chelsea,19,12,6,1,39,12,27,42,2.21,19,9,3,7,24,27,-3,30,1.58,2018-19,1026.3157894736842,994.7368421052631,1205.2631578947369,936.8421052631579,1126.3157894736842,857.8947368421052
43,Tottenham,19,12,2,5,34,16,18,38,2.0,19,11,0,8,33,23,10,33,1.74,2018-19,1026.3157894736842,1015.7894736842105,1178.9473684210527,915.7894736842105,1173.6842105263158,878.9473684210526
44,Arsenal,19,14,3,2,42,16,26,45,2.37,19,7,4,8,31,35,-4,25,1.32,2018-19,1047.3684210526314,973.6842105263158,1221.0526315789475,915.7894736842105,1163.157894736842,815.7894736842105
45,Manchester Utd,19,10,6,3,33,25,8,36,1.89,19,9,3,7,32,29,3,30,1.58,2018-19,1005.2631578947368,994.7368421052631,1173.6842105263158,868.421052631579,1168.421052631579,847.3684210526316
