,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
2,274,27,14,2,False,2022-08-22T19:00:00Z,2,1,3,72,0,0,0,2,0,0,0,0,0,0,0,13,5.2,12.3,34.0,5.2,45,40295,138748,60877,20582
3,274,36,3,1,True,2022-08-27T14:00:00Z,9,0,4,21,0,0,0,0,0,0,0,0,0,0,0,4,4.4,1.2,17.0,2.3,45,-3543,137801,21797,25340
4,274,48,15,1,True,2022-08-31T19:00:00Z,2,1,5,19,0,0,0,0,0,0,0,0,0,0,0,7,7.0,19.8,2.0,2.9,45,-10281,130525,11916,22197
5,274,55,8,1,False,2022-09-03T11:30:00Z,0,0,6,31,0,0,0,0,0,0,0,0,0,0,0,5,5.0,4.5,0.0,1.0,45,-5638,128429,13253,18891
0,275,4,9,2,False,2022-08-06T11:30:00Z,2,2,1,90,0,0,0,2,0,0,0,0,0,0,0,14,8.2,29.8,13.0,5.1,55,0,94154,0,0
1,275,16,7,1,True,2022-08-15T19:00:00Z,1,1,2,27,0,0,0,0,0,0,0,0,0,0,0,10,7.4,16.3,0.0,2.4,55,-2268,110983,10938,13206
2,275,27,14,1,False,2022-08-22T19:00:00Z,2,1,3,58,0,0,0,2,0,0,0,0,0,0,0,13,11.0,13.0,6.0,3.0,55,-7669,111764,11660,19329
3,275,36,3,3,True,2022-08-27T14:00:00Z,9,0,4,69,0,0,1,0,0,0,0,0,0,0,0,12,10.8,4.9,4.0,2.0,54,-15335,101342,5319,20654
4,275,48,15,2,True,2022-08-31T19:00:00Z,2,1,5,70,0,0,0,1,0,0,0,0,0,0,0,12,7.8,16.7,4.0,2.9,54,-8139,96215,3883,12022
5,275,55,8,0,False,2022-09-03T11:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-22592,74144,1438,24030
